car_name,year,mileage,fuel_type,seller_type,transmission_type,previous_owners,selling_price
ritz,2014,27000,Petrol,Dealer,Manual,0,3.35
sx4,2013,43000,Diesel,Dealer,Manual,0,4.75
ciaz,2017,6900,Petrol,Dealer,Manual,0,7.25
wagon r,2011,5200,Petrol,Dealer,Manual,0,2.85
swift,2014,42450,Diesel,Dealer,Manual,0,4.6
vitara brezza,2018,2071,Diesel,Dealer,Manual,0,9.25
ciaz,2015,18796,Petrol,Dealer,Manual,0,6.75
s cross,2015,33429,Diesel,Dealer,Manual,0,6.5
ciaz,2016,20273,Diesel,Dealer,Manual,0,8.75
ciaz,2015,42367,Diesel,Dealer,Manual,0,7.45
alto 800,2017,2135,Petrol,Dealer,Manual,0,2.85
ciaz,2015,51000,Diesel,Dealer,Manual,0,6.85
ciaz,2015,15000,Petrol,Dealer,Automatic,0,7.5
ertiga,2015,26000,Petrol,Dealer,Manual,0,6.1
dzire,2009,77427,Petrol,Dealer,Manual,0,2.25
ertiga,2016,43000,Diesel,Dealer,Manual,0,7.75
ertiga,2015,41678,Diesel,Dealer,Manual,0,7.25
ertiga,2016,43000,Diesel,Dealer,Manual,0,7.75
wagon r,2015,35500,CNG,Dealer,Manual,0,3.25
sx4,2010,41442,Petrol,Dealer,Manual,0,2.65
alto k10,2016,25000,Petrol,Dealer,Manual,0,2.85
ignis,2017,2400,Petrol,Dealer,Manual,0,4.9
sx4,2011,50000,Petrol,Dealer,Automatic,0,4.4
alto k10,2014,45280,Petrol,Dealer,Manual,0,2.5
wagon r,2013,56879,Petrol,Dealer,Manual,0,2.9
swift,2011,20000,Petrol,Dealer,Manual,0,3
swift,2013,55138,Petrol,Dealer,Manual,0,4.15
swift,2017,16200,Petrol,Individual,Manual,0,6
alto k10,2010,44542,Petrol,Dealer,Manual,0,1.95
ciaz,2015,45000,Diesel,Dealer,Manual,0,7.45
ritz,2012,51439,Diesel,Dealer,Manual,0,3.1
ritz,2011,54200,Petrol,Dealer,Manual,0,2.35
swift,2014,39000,Diesel,Dealer,Manual,0,4.95
ertiga,2014,45000,Diesel,Dealer,Manual,0,6
dzire,2014,45000,Diesel,Dealer,Manual,0,5.5
sx4,2011,49998,CNG,Dealer,Manual,0,2.95
dzire,2015,48767,Petrol,Dealer,Manual,0,4.65
800,2003,127000,Petrol,Individual,Manual,0,0.35
alto k10,2016,10079,Petrol,Dealer,Manual,0,3
sx4,2003,62000,Petrol,Dealer,Manual,0,2.25
baleno,2016,24524,Petrol,Dealer,Automatic,0,5.85
alto k10,2014,46706,Petrol,Dealer,Manual,0,2.55
